2009-02-02	07:15:16.575809	M35	ON	R1_Bed_to_Toilet begin
2009-02-02	07:15:21.408519	AD1-A	2.82231
2009-02-02	07:15:22.532789	M35	OFF
2009-02-02	07:15:23.345479	M35	ON
2009-02-02	07:15:27.529299	AD1-A	2.79926
2009-02-02	07:15:28.655329	M34	ON
2009-02-02	07:15:32.57429	M34	OFF
2009-02-02	07:15:32.739629	M35	OFF
2009-02-02	07:15:32.931449	M34	OFF
2009-02-02	07:15:33.07573	M35	OFF
2009-02-02	07:17:53.160229	M35	ON
2009-02-02	07:17:56.13068	M34	OFF
2009-02-02	07:17:59.13169	M35	OFF
2009-02-02	07:18:19.89661	M35	ON
2009-02-02	07:18:20.136519	M34	ON
2009-02-02	07:18:22.46954	M34	OFF
2009-02-02	07:18:22.769639	M35	OFF
2009-02-02	07:18:23.609549	M35	ON
2009-02-02	07:18:28.89927	M35	OFF
2009-02-02	07:18:29.72736	M35	ON
2009-02-02	07:18:31.197069	M34	ON
2009-02-02	07:18:35.033629	M35	OFF
2009-02-02	07:18:35.182739	M35	OFF
2009-02-02	07:18:45.646339	M35	ON
2009-02-02	07:18:49.0538	M32	ON
2009-02-02	07:18:49.42757	M34	OFF
2009-02-02	07:18:49.631319	M34	OFF
2009-02-02	07:18:49.843909	M34	OFF
2009-02-02	07:18:51.460079	M35	OFF
2009-02-02	07:18:51.770519	M33	ON
2009-02-02	07:18:53.264509	M33	OFF
2009-02-02	07:18:53.4583	M33	ON
2009-02-02	07:18:55.562419	M33	OFF
2009-02-02	07:18:56.18119	M35	ON
2009-02-02	07:18:58.05535	M34	ON
2009-02-02	07:18:58.671839	M34	OFF
2009-02-02	07:18:58.869189	M34	OFF
2009-02-02	07:18:59.348059	M36	ON
2009-02-02	07:19:03.5292	M35	OFF
2009-02-02	07:19:03.72968	M36	OFF
2009-02-02	07:19:04.888079	M35	ON
2009-02-02	07:19:12.39262	M33	ON
2009-02-02	07:19:13.374439	M35	OFF
2009-02-02	07:19:15.635659	M33	OFF
2009-02-02	07:19:21.756979	M35	ON
2009-02-02	07:19:24.667579	M32	OFF
2009-02-02	07:19:25.8638	M35	OFF
2009-02-02	07:19:26.046139	M35	OFF
2009-02-02	07:19:26.23111	M35	OFF
2009-02-02	07:19:26.44002	M35	OFF
2009-02-02	07:19:28.135289	M35	ON
2009-02-02	07:19:30.67931	M35	OFF
2009-02-02	07:19:46.034559	M35	ON
2009-02-02	07:19:46.60396	M36	ON
2009-02-02	07:19:48.900379	M30	ON
2009-02-02	07:19:49.69544	M35	OFF
2009-02-02	07:19:49.90187	M36	OFF
2009-02-02	07:19:50.346999	M36	ON
2009-02-02	07:19:52.42892	M29	ON
2009-02-02	07:19:52.73038	M36	OFF
2009-02-02	07:19:54.237629	M30	OFF
2009-02-02	07:19:54.429589	M30	OFF
2009-02-02	07:19:57.53853	M37	ON
2009-02-02	07:19:58.51197	M29	OFF
2009-02-02	07:20:04.214699	M38	ON
2009-02-02	07:20:07.698909	M37	OFF
2009-02-02	07:20:25.325489	M39	ON
2009-02-02	07:20:27.8761	M41	ON
2009-02-02	07:20:28.14105	M40	ON
2009-02-02	07:20:28.441169	M38	OFF
2009-02-02	07:20:30.531029	M39	OFF
2009-02-02	07:20:33.932169	M40	OFF
2009-02-02	07:20:37.521039	M41	OFF
2009-02-02	07:20:41.461849	M41	ON
2009-02-02	07:20:41.60609	M40	ON
2009-02-02	07:20:43.31938	M40	OFF
2009-02-02	07:20:48.98369	M41	OFF
2009-02-02	07:20:55.342509	M41	ON
2009-02-02	07:20:56.282789	M40	ON
2009-02-02	07:21:00.390539	M39	ON
2009-02-02	07:21:03.792759	M41	OFF	R1_Bed_to_Toilet end
2009-02-02	07:21:04.014729	M40	OFF	R1_Personal_Hygiene begin
2009-02-02	07:21:04.30796	M40	ON
2009-02-02	07:21:11.407759	M38	ON
2009-02-02	07:21:13.051049	M39	OFF
2009-02-02	07:21:16.144799	M38	OFF
2009-02-02	07:21:16.309509	M40	OFF
2009-02-02	07:21:16.803679	M38	ON
2009-02-02	07:21:27.83077	M39	ON
2009-02-02	07:21:32.335449	M39	OFF
2009-02-02	07:21:33.867079	M38	OFF
2009-02-02	07:30:08.43298	M39	ON
2009-02-02	07:30:13.87102	M39	OFF
2009-02-02	07:30:24.3001	M39	ON
2009-02-02	07:30:29.43668	M39	OFF
2009-02-02	07:30:44.321599	M39	ON
2009-02-02	07:30:47.313349	M39	OFF
2009-02-02	07:30:50.087359	M39	ON
2009-02-02	07:30:50.38942	M39	OFF
2009-02-02	07:30:52.87205	M39	ON
2009-02-02	07:30:54.30572	M39	OFF
2009-02-02	07:31:13.778959	M39	ON
2009-02-02	07:31:16.88596	M39	OFF
2009-02-02	07:31:20.93224	M39	ON
2009-02-02	07:31:23.52339	M39	OFF
2009-02-02	07:31:25.431859	M39	ON
2009-02-02	07:31:27.01528	M39	OFF
2009-02-02	07:31:27.37539	M39	ON
2009-02-02	07:31:39.10625	M38	ON
2009-02-02	07:31:43.45512	M39	OFF
2009-02-02	07:32:17.90173	M38	ON
2009-02-02	07:32:29.04867	M38	OFF
2009-02-02	07:32:31.676049	M38	ON
2009-02-02	07:32:54.029979	M38	OFF
2009-02-02	07:32:56.302119	M38	ON
2009-02-02	07:33:04.581629	M38	OFF
2009-02-02	07:33:05.406569	M38	ON
2009-02-02	07:33:13.923779	M38	OFF
2009-02-02	07:33:14.93083	M38	ON
2009-02-02	07:33:17.917229	M38	OFF
2009-02-02	07:33:28.44121	M38	ON
2009-02-02	07:33:32.300909	M38	OFF
2009-02-02	07:33:34.701879	M38	ON
2009-02-02	07:33:51.97356	M38	ON
2009-02-02	07:34:00.619329	M38	OFF
2009-02-02	07:34:03.722179	M38	ON
2009-02-02	07:34:04.36384	M38	OFF
2009-02-02	07:34:05.43211	M38	ON
2009-02-02	07:34:06.41118	M38	OFF
2009-02-02	07:34:09.30432	M38	ON
2009-02-02	07:34:21.198549	M38	OFF
2009-02-02	07:34:24.022409	M38	ON
2009-02-02	07:34:27.757519	M38	ON
2009-02-02	07:34:30.541059	M38	ON
2009-02-02	07:34:39.317199	M38	OFF
2009-02-02	07:34:42.27325	M38	ON
2009-02-02	07:34:54.90468	M38	OFF
2009-02-02	07:34:56.859129	M38	ON
2009-02-02	07:34:58.22936	M38	OFF
2009-02-02	07:35:07.35068	M38	ON
2009-02-02	07:35:12.30132	M38	OFF
2009-02-02	07:35:12.823299	M38	ON
2009-02-02	07:35:15.93488	M39	ON
2009-02-02	07:35:18.7237	M38	OFF
2009-02-02	07:35:20.971159	M38	ON
